ibgecode,mun,uf,div_regiao,distcap,ideb_2005,ideb_2007,ideb_2009,ideb_2011,mtm_2005,mtm_2007,mtm_2009,mtm_2011,lp_2005,lp_2007,lp_2009,lp_2011,pop_2005,Dpibpc_0005,pibpc_2005,pibpc_2007,pibpc_2009,pibpc_2011,idh_2000
2309706,592,CE,0,31,3.6,3.4,4.2,4.7,163.2,174.12,187.79,198.89,161.6,161.05,174.4,183.91,60701,-2.301259895,44.72420635,66.74347258,72.26091052,74.08318372,0.533
2309805,593,CE,0,70,3.1,3.5,3.8,NA,166.2,171.08,171.46,NA,168,153.19,158.73,NA,11448,-2.156344295,0.306568505,0.345621208,0.368456972,0.38888625,0.484
2309904,594,CE,0,241,3.3,3.3,3.7,4.7,159.4,165.59,171,198.09,158.4,151.99,160.51,164.65,6058,5.305382976,0.920070268,0.868094055,0.936786334,1.127657518,0.486
2310001,598,CE,1,131,3.1,2.9,4.2,5,159.2,154.71,179.17,203.03,151.4,134.82,164.59,182.96,8304,-1.30950381,0.397193576,0.638030954,0.615009332,0.670233214,0.492
2310100,599,CE,0,59,3.3,3.1,3.5,4.4,153.8,156.37,157.96,182.17,156,144.98,150.55,173.52,9623,1.211787761,0.702384276,0.683621257,0.809144644,0.991087344,0.497
2310209,606,CE,0,64,3.6,4,4.8,5.6,169.6,178.35,192.37,209.68,167.4,166.22,178.44,198.6,31675,3.234004196,12.31918151,12.32138678,11.35324015,11.69859907,0.457
2310258,607,CE,0,74,3.4,4,4.4,4.9,160.6,173.55,184.57,193.98,155.8,163.69,171.38,183.76,29015,3.419430979,6.476744186,6.932141318,6.997734761,7.898714965,0.495
2310308,608,CE,1,365,3.1,4,4.2,4.8,152.8,172.81,171.94,188.56,146.6,156.38,165.43,181.22,33695,0.575237722,4.113366561,3.995316804,4.469514909,4.969785754,0.387
2310407,609,CE,0,88,2.8,3.2,4.1,4.6,160,165.14,190.12,194.16,151,150.53,172.79,185.82,11298,1.728651651,2.93543956,3.482397716,3.754398963,4.100647549,0.405
2310506,633,CE,0,232,3.3,3.2,5.2,6.7,158.6,152.46,207.43,250.27,152,137.92,182.15,214.14,41959,2.386041779,12.28534869,11.53511498,12.7844983,14.61482102,0.42
2310605,643,CE,1,459,2.5,4.1,4.1,5.1,148.8,213.25,178.9,212.54,145,181.45,162.03,178.45,7382,1.537841374,1.186318198,1.887923323,2.382239382,2.46844355,0.53
2310704,645,CE,0,81,3,3.5,3.9,4.6,156.4,164.65,171.26,187.25,147,148.18,156.96,172.39,32818,2.262123279,1.162307991,1.361455808,1.656054759,1.908260311,0.467
2310803,646,CE,1,257,2.9,3.4,4.2,4.5,162,175.99,189.84,197.75,161.6,160.11,184.64,185.14,15496,-3.503015792,2.978993502,3.446120355,3.909461911,4.295359951,0.445
2310902,659,CE,0,250,3,2.9,3.8,4.8,160.4,154.34,187.86,208.32,152.6,138.82,169.86,186.09,13152,0.873683861,3.980400248,4.115354789,4.610810811,5.194338906,0.427
2311009,672,CE,1,288,2.4,3.1,3.5,4.5,149,161.2,157.09,187.18,147.8,150.57,152.87,178.7,12163,-2.145495701,1.305673311,1.47078563,1.633664321,1.80395907,0.401
2311108,674,CE,1,427,3.3,3.3,3.9,4.6,160.8,174.02,177.4,185.76,144,160.48,164.35,180.22,16053,0.144542782,0.873270146,1.009223568,1.127379016,1.062156855,0.477
2311207,678,CE,1,408,2.6,2.8,4.2,4.3,165.6,186.91,219.06,189.9,159.2,159.41,175.54,177.81,9758,4.861872542,2.545628834,2.445950704,2.81293617,3.129065925,0.396
2311231,679,CE,1,226,3.1,3,3.7,4.5,155.4,153.96,168.93,189.03,151.8,141,158.69,173.12,5758,-3.473089909,3.520109332,3.572670376,4.094856379,4.402787456,0.425
2311264,690,CE,1,336,3.7,3.6,4,4.6,166.6,167.82,176.47,184.97,159.2,148.7,155.16,172.29,19384,5.332486325,2.938010518,3.261638398,3.610816543,3.564523331,0.405
2311306,692,CE,0,148,3.4,3.9,4.3,4.5,161.4,171.74,176.45,182.2,153.2,157.3,166.28,168.47,74793,0.990881634,51.72270666,54.46038251,72.21409574,83.96856444,0.524
2311355,693,CE,1,290,3.2,3.8,3.9,5.1,167.8,175.42,174.76,202.28,141.6,160.88,152.85,188.08,15544,1.526545835,6.019819423,5.936697248,6.156669651,7.076795055,0.367
2311405,694,CE,0,184,3,3.5,4.6,5.3,164.6,178.51,199.77,218.59,159.6,167.61,185.59,194.62,59229,-2.288641586,64.11815562,72.61377385,74.32155477,81.39108911,0.482
2311504,695,CE,1,162,2.6,3.2,4,4.6,146.6,168.54,180.2,185.84,144.2,150.61,165,173.49,18780,19.57757931,4.572562486,4.91625301,3.07161953,15.16874535,0.475
2311603,699,CE,0,60,3.2,3.3,4.4,4.8,168.6,170.36,187.04,191.04,165.6,151.47,170.45,175.55,26394,-2.768890369,3.902951912,3.504444804,3.737202961,4.336714976,0.478
2311801,722,CE,1,149,3.3,3.4,4.4,5,163.4,169.09,196.47,210.81,158.4,157.2,176.99,193.61,64057,8.13599202,19.41084286,18.01644372,16.86908743,19.47443249,0.527
2311900,724,CE,1,347,2.8,3,3.5,5.1,176.4,172.57,176.21,213.98,164.4,153.56,162.07,193.95,16705,-1.486670573,1.837938896,1.724182333,1.934038888,2.028330222,0.374
2311959,729,CE,1,448,1.8,2.7,3.4,4.2,134.2,166.15,170.72,189.51,128.8,147.98,160.63,179.51,14727,6.124116113,1.633600778,2.102722404,2.674373933,2.03820337,0.326
2312007,752,CE,0,188,2.5,2.9,3.5,4.1,156.8,172.47,169.35,184.17,153,156.13,158.29,169.9,28548,0.425001872,21.33481262,24.28796069,24.72955083,26.20574163,0.431
2312106,753,CE,1,406,3.2,3.6,4.4,4.2,163.4,171.34,189.49,178.84,155.2,155.73,165.16,164.62,17752,-6.344084237,3.350877193,4.1,4.939206517,4.700601375,0.424
2312205,746,CE,0,192,3.3,3.7,4.4,4.5,162.8,178.73,193.71,184.18,157.8,167.2,177.89,175.33,43567,1.512223056,14.51063057,13.74244529,15.33672279,17.75062657,0.431
2312304,764,CE,1,260,3,3.7,4.2,4.6,162.6,176.57,186.63,189.3,160.2,165.24,176.94,175.18,41895,0.493835504,8.938942484,10.95261941,12.22448726,13.16544346,0.433
2312403,781,CE,0,49,3.8,4.5,4.8,5.2,171.2,191.59,192.85,204.06,168.2,170.72,178.55,188.18,39569,5.022525365,12.29572519,48.08918877,49.04380981,73.11979472,0.459
2312502,791,CE,1,174,2.4,3.3,5,6,150.4,171.55,217.26,227.61,140.8,158.1,187.92,202.28,9046,2.79769575,2.910364146,3.091580502,3.229234088,3.514081863,0.523
2312601,819,CE,0,78,2.7,2.8,4.1,3.8,139.4,156.98,192.74,177.6,135,141.96,176.32,164.64,12053,3.525588957,2.25075021,2.512780323,2.721984007,2.837704378,0.506
2312700,844,CE,0,226,3,2.8,5.1,4.6,152.2,156.31,209.42,188.38,151,141.14,188.1,174.19,27441,4.82465788,6.850339088,8.584491979,9.190760583,10.92619048,0.487
2312908,867,CE,0,201,4,4.9,6.7,7.4,169.6,194.09,244.77,270.55,164.4,184.79,218.24,230.9,172685,0.231522552,70.74250188,71.67316112,65.57593922,76.9173396,0.537
2313005,872,CE,0,229,3.5,3.4,3.9,5.2,163,156.87,163.3,205.07,155.2,141.68,154.69,181.69,17385,0.654839864,2.820415879,3.174810622,3.337128553,3.456885882,0.454
2313104,880,CE,1,175,3.5,3.3,4,4.5,174.4,183.18,194.11,196.59,166.6,165.19,175.84,178.06,28346,7.219331289,1.633581947,1.847023633,2.094327051,2.343511215,0.522
2313203,885,CE,1,233,2.2,3.1,3.7,4.7,150.6,170.67,185.26,203.27,139.6,153.45,165.73,184.75,25793,-1.171758687,13.46210938,14.15056923,15.3473796,17.70396002,0.385
2313302,892,CE,1,319,3.5,3.9,4.3,5.3,162.2,173.89,181.99,203.49,153.4,158.37,172.06,190.36,52330,6.492420545,5.251238798,6.193760357,6.455365543,6.969076237,0.477
